관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,proximity_metro_dist
3010000-101-2022-00422,매머드커피익스프레스 장충동먹자골목점,200479.632428096,451095.901955919,폐업,2022-11-28,2024-11-27,292.49144140528773
3010000-101-2016-00386,만랩커피 을지로입구역점,198217.309166924,451709.930986481,폐업,2016-12-05,2022-11-23,253.89154709089416
3010000-101-2007-00116,이디야YTN점,197504.86505106,450658.592453316,폐업,2007-04-18,2023-09-07,416.82311482333995
3010000-101-2007-00024,이디야,197786.161406551,451886.574198533,폐업,2007-01-18,2022-06-24,160.38534376902163
3100000-101-2021-00048,더 벤티,205503.7223045,461314.576462526,폐업,2021-02-03,2024-06-03,230.74915518175786
3100000-101-1997-01867,이디야 에스프레소,205430.356783465,461479.613299751,폐업,1997-04-07,2023-01-31,100.15253490283496
3100000-101-2011-00165,이디야,204772.367380466,464080.593904719,폐업,2011-07-01,2018-03-19,150.73527983958192
3100000-101-2023-00202,감성커피 노원롯데캐슬점,206799.020098051,462509.638445514,폐업,2023-07-03,2024-07-03,513.50933242656
3160000-101-2007-00206,빽다방(구로삼성IT점),190612.779366379,442662.421914354,폐업,2007-06-19,2017-03-30,643.4497104579478
3040000-101-1981-02511,이디야(중곡역점),207333.639771374,451464.267096677,폐업,1981-01-22,2023-07-25,65.94974301418611
3040000-101-2009-00208,어린이대공원역점 홍콩반점&빽다방,206322.32617093,449541.914006032,폐업,2009-07-02,2022-12-02,205.4722216382589
3040000-101-2022-00045,감성커피군자역점,206893.243768773,450355.212380878,폐업,2022-02-15,2024-11-15,195.8566517605083
3130000-101-1999-06927,이디야,193327.96005519,450134.152033878,폐업,1999-01-21,2018-08-30,393.2513561478806
3130000-101-2002-00757,이디야,191041.644341876,450459.367222629,폐업,2002-12-16,2023-12-29,867.9160401571104
3130000-101-2013-00714,이디야커피,193125.832537497,450720.602265804,폐업,2013-12-06,2023-01-17,227.85943616239027
3130000-101-2009-00346,이디야,193443.852794446,450457.094862042,폐업,2009-07-27,2022-12-02,153.16427707298786
3210000-101-2018-00345,빽다방 신사사거리지점,201626.186746896,445948.552865248,폐업,2018-08-02,2019-06-10,64.99099208899969
3210000-101-2012-00131,컴포즈커피 교대점,201389.939592064,443377.495674887,폐업,2012-04-02,2022-09-22,224.00242254848166
3210000-101-2005-00497,더벤티,201682.084788276,445350.656913916,폐업,2005-10-18,2020-06-10,159.8258802300028
3210000-101-1999-14274,"홍콩반점0410, 빽다방 강남역 서초점",202168.523433745,443992.861821658,폐업,1999-09-13,2017-11-09,197.94939961418015
3210000-101-2006-00306,이디야커피,201704.659299216,445410.827928434,폐업,2006-08-28,2018-02-19,116.6750726883986
3210000-101-1996-07033,이디야,203796.704036794,441582.10354952,폐업,1996-10-18,2016-04-21,764.6787864073159
3210000-101-2019-00019,빽다방 신논현역지점,201973.022241328,444684.700371579,폐업,2019-01-21,2019-06-10,127.80220877120257
3020000-101-2014-00133,빽다방남영역지점,197482.715568473,448876.940549786,폐업,2014-05-07,2021-06-15,198.87409248569193
3020000-101-1981-04525,이디야용산중앙점,196803.242305775,447023.962648698,폐업,1981-11-03,2024-03-07,492.96263185861477
3020000-101-1986-06308,빽다방서울역지점,197484.066786213,450200.423526439,폐업,1986-09-13,2019-03-29,103.89068990618708
3180000-101-2022-00530,더벤티 영등포구청점,190641.013239169,447188.60496999,폐업,2022-10-18,2025-04-15,196.30016202244934
3180000-101-2015-00513,매머드익스프레스남여의도점,193209.283508484,446474.956573488,폐업,2015-11-23,2020-09-02,125.36558130125579
3180000-101-2014-00356,매머드익스프레스선유도점,190558.055923606,448366.233223909,폐업,2014-09-02,2025-02-06,69.27566898521789
3180000-101-2017-00316,감성커피당산역점,190970.006584385,448119.321732582,폐업,2017-07-21,2025-02-10,337.459263576761
3180000-101-2018-00156,감성커피,192558.271784626,444233.81892942,폐업,2018-04-24,2019-10-21,310.4278079295432
3180000-101-2019-00305,감성커피영등포문래점,190107.271463999,446454.594611755,폐업,2019-07-03,2021-02-17,578.0735879656212
3180000-101-2019-00266,매머드익스프레스여의도KBS본관점,192747.419300064,447054.988337321,폐업,2019-06-12,2023-03-13,277.12631747691677
3180000-101-2019-00279,만랩커피 문래GS점,190169.524017679,446574.378587989,폐업,2019-06-19,2024-05-09,560.7691741058326
3000000-101-2013-00033,이디야커피 청계천점,198502.872319959,451859.966105804,폐업,2013-02-15,2024-03-12,145.57349831755315
3000000-101-2014-00160,만랩커피 광화문 로얄빌딩점,197662.503910553,452189.09236786,폐업,2014-05-07,2023-05-11,254.50679234180083
3000000-101-2000-11357,이디야,198681.012391136,452731.165062803,폐업,2000-06-23,2017-11-01,48.62892884081303
3000000-101-2014-00144,이디야,199783.918141466,453483.532108771,폐업,2014-04-29,2019-09-02,346.67341195909563
3000000-101-2009-00161,빽다방 대학로점,200105.158,452895.274333333,폐업,2009-05-07,2022-09-29,417.819237435044
3000000-101-2015-00241,종로구 숭인1호점 빽다방,201715.52953444,452484.380254535,폐업,2015-07-09,2020-09-10,325.93651344150607
3000000-101-1992-06474,이디야청계광장점,198119.936679056,451902.693235315,폐업,1992-06-05,2021-01-18,288.5057590020591
3030000-101-2001-06745,이디야커피(금호역점),201504.910765224,449574.878021141,폐업,2001-02-06,2021-05-27,180.53710766734181
3030000-101-2005-00054,이디야 답십리로데오점,204572.468581227,451288.717634418,폐업,2005-03-28,2024-01-30,329.09944810181776
3060000-101-2020-00063,감성커피 상봉점,207522.003991159,454614.703800827,폐업,2020-04-09,2025-04-08,159.85030210879765
3060000-101-2012-00143,매머드커피묵동자이점,206777.731391054,456837.219624564,폐업,2012-07-19,2023-03-23,356.2093923860765
3060000-101-2003-00693,이디야(중화역점),206896.700735158,455647.890887537,폐업,2003-12-19,2023-11-03,66.60476042724972
3060000-101-2004-00571,이디야,207756.246635112,453630.785194671,폐업,2004-12-03,2023-07-11,424.1988348349713
3120000-101-2013-00142,매머드커피,196828.829637637,451670.514152007,폐업,2013-06-10,2019-05-20,226.97884304147848
3120000-101-2014-00294,빽다방(서대문역점),196840.383889937,451653.87389314,폐업,2014-12-09,2021-11-18,206.94384614217964
3120000-101-2015-00134,빽다방 이대정문점,195107.690300528,450756.291896813,폐업,2015-05-13,2020-12-24,262.47333313514935
3120000-101-2019-00219,감성커피 홍제역점,195045.660792095,453969.846574818,폐업,2019-07-16,2022-06-07,106.20249663111183
3120000-101-2011-00107,이디야커피 가좌역점,192430.747828561,451913.110479249,폐업,2011-05-04,2017-10-13,98.54960241502152
3170000-101-2019-00047,감성커피 금천시흥점,192045.604230377,438876.299174794,폐업,2019-02-25,2022-07-20,1521.5839708010294
3230000-101-2023-00330,더벤티 잠실장미상가점,208707.089897534,446299.352775446,폐업,2023-05-10,2024-06-28,443.96371816196194
3230000-101-2015-00321,이디야커피 방이미성점,210775.452144611,444886.92475337,폐업,2015-07-10,2023-05-10,417.49971731736485
3230000-101-2012-00125,이디야커피 송파한양점,209971.561769881,444625.863105631,폐업,2012-04-02,2024-07-19,463.2149460423471
3230000-101-2018-00519,감성커피 방이역점,210903.816323612,445361.060904842,폐업,2018-07-24,2024-02-29,251.20370710545228
3070000-101-2024-00351,빽다방 성북우체국점,202482.840792153,456067.252354538,폐업,2024-08-13,2024-08-20,444.7795599680662
3070000-101-2002-00051,이디야 길음역점,202029.981799661,455605.716911266,폐업,2002-01-31,2019-12-03,201.60241529657466
3070000-101-2011-00240,이디야,201424.988220241,454071.021752091,폐업,2011-08-11,2022-02-09,427.1290438442772
3070000-101-2024-00447,빽다방 한예종석관점,205155.139567981,456508.891830093,폐업,2024-10-18,2024-10-19,246.60200283547235
3080000-101-2013-00217,이디야 광산사거리,201930.770048587,460020.981733386,폐업,2013-09-17,2023-02-10,526.7155537676896
3080000-101-2001-09059,이디야(삼각산점),201343.966010239,457508.846098196,폐업,2001-12-20,2024-09-24,221.06570400799967
3080000-101-2007-00123,이디야 수유1동점,201493.548940074,458597.485196888,폐업,2007-05-31,2023-10-10,298.9171179904383
3080000-101-2009-00145,이디야 커피,202536.541879297,456758.813670659,폐업,2009-06-02,2023-10-30,51.630366377171825
3080000-101-2019-00082,감성커피 미아민병원점,202337.148434207,457806.819119783,폐업,2019-04-11,2025-04-04,436.23855837812135
3090000-101-2021-00077,감성커피도봉점,203918.365043785,464475.731561079,폐업,2021-04-23,2023-04-19,360.8064642255987
3220000-101-2020-01526,매머드익스프레스 압구정점,202398.022535049,446869.307086395,폐업,2020-12-21,2023-01-16,239.89145121410738
3220000-101-2015-00871,매머드 익스프레스 선릉대림점,204181.823243711,444950.728644939,폐업,2015-09-30,2020-06-30,264.6984746055665
3220000-101-2012-00451,이디야커피 역삼GFC점,203207.24444991,444098.380981066,폐업,2012-06-13,2017-02-10,182.68021272588814
3220000-101-1989-17876,빽다방 멜로우 논현지점,202056.105851493,444977.96960847,폐업,1989-10-10,2017-07-07,276.55311487947665
3220000-101-2023-00466,주식회사 앤하우스 메가MGC커피(한시적),205130.591678902,445590.096837802,폐업,2023-04-03,2023-04-13,226.6222118106773
3220000-101-2005-00064,빽다방(청담영동고점),203546.514567012,446316.917431553,폐업,2005-01-25,2022-03-03,211.75129598401807
