관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,is_alive,population
3010000-101-2022-00422,매머드커피익스프레스 장충동먹자골목점,200479.632428096,451095.901955919,폐업,2022-11-28,2024-11-27,0,270.375
3010000-101-2016-00386,만랩커피 을지로입구역점,198217.309166924,451709.930986481,폐업,2016-12-05,2022-11-23,0,18.625
3010000-101-2007-00116,이디야YTN점,197504.86505106,450658.592453316,폐업,2007-04-18,2023-09-07,0,5.875
3010000-101-2007-00024,이디야,197786.161406551,451886.574198533,폐업,2007-01-18,2022-06-24,0,4.625
3010000-101-2022-00284,메가엠지씨커피 충정로역점,196864.942838297,450649.69804319,영업/정상,2022-09-05,,1,746.875
3010000-101-2022-00328,메가엠지씨커피 동국대점,199797.962118349,451014.453286705,영업/정상,2022-09-30,,1,124.625
3010000-101-2022-00353,메가엠지씨커피 명동중앙점,198713.482870784,451033.470763455,영업/정상,2022-10-20,,1,1.25
3010000-101-2021-00256,만랩커피 을지로입구역점,198217.309166924,451709.930986481,영업/정상,2021-07-23,,1,18.625
3010000-101-2020-00230,메가엠지씨커피 신당역점,201682.7911724,451465.275796415,영업/정상,2020-08-07,,1,228.5
3010000-101-2023-00069,매머드 익스프레스(필동점),199609.925255529,450783.157740456,영업/정상,2023-02-28,,1,56.875
3010000-101-2024-00334,메가엠지씨커피 시청역점,197848.439374053,451257.097086807,영업/정상,2024-07-12,,1,3.5
3010000-101-2016-00346,매머드익스프레스 충정로역센트럴타워점,196948.933328771,450906.177832843,영업/정상,2016-10-27,,1,173.875
3010000-101-2003-00461,충무로점 컴포즈,199591.342211266,451003.369410638,영업/정상,2003-11-19,,1,82.5
3010000-101-2005-00073,빽다방 태평로점,197905.900633572,451235.373780637,영업/정상,2005-03-17,,1,16.375
3010000-101-2015-00154,더벤티 을지로6가점,200477.287623625,451539.369270964,영업/정상,2015-06-05,,1,95.375
3010000-101-2014-00393,매머드 익스프레스 충무로점,199089.796600316,451204.411258024,영업/정상,2014-12-15,,1,36.125
3010000-101-2010-00184,이디야커피 중림브라운스톤점,197133.181826761,450929.253706925,영업/정상,2010-06-28,,1,28.375
3010000-101-2003-00121,메가엠지씨커피 중구필동3가점,199602.648997444,450688.55190656,영업/정상,2003-03-27,,1,112.375
3010000-101-2000-12902,빽다방 을지로입구역점,198329.99580648,451613.089326599,영업/정상,2000-06-22,,1,16.5
3010000-101-2008-00119,컴포즈커피 순화점,197462.198757043,450878.211786274,영업/정상,2008-06-10,,1,319.0
3010000-101-2006-00202,이디야,201239.507963268,451252.55771342,영업/정상,2006-06-14,,1,213.0
3010000-101-1988-10664,이디야커피,198447.644618398,450955.161084854,영업/정상,1988-01-13,,1,14.25
3010000-101-1990-09174,이디야,197934.29430797,450588.719317133,영업/정상,1990-09-26,,1,39.375
3010000-101-2006-00393,메가엠지씨커피 명보사거리점,199280.740644434,451320.659650734,영업/정상,2006-11-20,,1,14.5
3010000-101-2023-00270,빽다방 충무로필동점,199609.575828593,450726.655253662,영업/정상,2023-06-22,,1,112.375
3010000-101-2012-00073,더 벤티 을지로 3가점,199061.536762652,451408.507194454,영업/정상,2012-03-30,,1,4.75
3010000-101-1996-08470,이디야,200505.560846925,451371.450139406,영업/정상,1996-07-22,,1,89.0
3010000-101-1993-04507,이디야,197223.229968607,451744.200009895,영업/정상,1993-12-27,,1,2.625
3010000-101-1996-03508,이디야커피(충무아트점),201167.369038428,451444.148282576,영업/정상,1996-11-06,,1,86.0
3010000-101-1998-05294,메가엠지씨커피 회현역점,197941.821431118,450597.274446386,영업/정상,1998-05-14,,1,39.375
3100000-101-2021-00048,더 벤티,205503.7223045,461314.576462526,폐업,2021-02-03,2024-06-03,0,3.5
3100000-101-1997-01867,이디야 에스프레소,205430.356783465,461479.613299751,폐업,1997-04-07,2023-01-31,0,1.0
3100000-101-2011-00165,이디야,204772.367380466,464080.593904719,폐업,2011-07-01,2018-03-19,0,169.5
3100000-101-2023-00202,감성커피 노원롯데캐슬점,206799.020098051,462509.638445514,폐업,2023-07-03,2024-07-03,0,195.125
3100000-101-2022-00139,컴포즈커피 노원당고개점,206961.390230248,462732.18472229,영업/정상,2022-07-11,,1,604.75
3100000-101-2022-00137,감성커피,204489.998187538,458912.083095685,영업/정상,2022-07-07,,1,363.25
3100000-101-2017-00207,메가엠지씨커피 공릉역점,206549.029217204,458200.061800926,영업/정상,2017-08-16,,1,23.625
3100000-101-2022-00191,메가엠지씨커피 공릉도깨비시장점,206516.873919761,457713.125160651,영업/정상,2022-09-13,,1,28.0
3100000-101-2022-00181,메가엠지씨커피 중계중앙점,206289.141970051,461081.595799529,영업/정상,2022-08-31,,1,1085.125
3100000-101-2022-00253,메가엠지씨커피 월계프라자점,204489.998187538,458912.083095685,영업/정상,2022-11-14,,1,363.25
3100000-101-2020-00161,이디야 아크앤북 월계점,205391.070378059,458333.989216339,영업/정상,2020-05-25,,1,0.0
3100000-101-1989-00253,이디야광운대점,205088.372178381,457555.772756946,영업/정상,1989-09-27,,1,121.875
3100000-101-2024-00132,빽다방 상계하늘공원점,206658.435431048,462339.351621762,영업/정상,2024-04-26,,1,237.125
3100000-101-2023-00168,빽다방 월계그랑빌점,205984.15211292,457275.799282625,영업/정상,2023-06-01,,1,1274.625
3100000-101-2009-00297,빽다방 석계역문화공원점,205612.142360606,457025.976372498,영업/정상,2009-11-02,,1,101.75
3100000-101-2003-00340,이디야 상계동점,205794.407854123,462501.199095576,영업/정상,2003-08-04,,1,153.0
3100000-101-2002-08063,메가엠지씨커피공릉중앙점,206909.885115009,457788.939713493,영업/정상,2002-11-21,,1,277.125
3100000-101-2004-00386,빽다방 광운대점,205141.073200809,457666.189835817,영업/정상,2004-09-13,,1,341.5
3100000-101-2004-00320,빽다방 서울과기대점,206737.44284819,458483.243858755,영업/정상,2004-07-29,,1,1195.875
3100000-101-2011-00134,매머드익스프레스 광운대정문점,205079.188071743,457543.891160846,영업/정상,2011-05-27,,1,121.875
3100000-101-2014-00402,매머드 익스프레스 상계역점,206399.072338658,461941.955622232,영업/정상,2014-12-26,,1,382.375
3160000-101-2007-00206,빽다방(구로삼성IT점),190612.779366379,442662.421914354,폐업,2007-06-19,2017-03-30,0,2.625
3160000-101-2020-00372,컴포즈커피 개봉푸르지오점,186459.681435835,444445.231347178,영업/정상,2020-12-01,,1,380.75
3160000-101-2007-00034,매머드익스프레스 구로코오롱타워2차점,190734.812272237,442305.230860115,영업/정상,2007-02-02,,1,1.25
3160000-101-2013-00315,매머드 익스프레스 구로디지털점,191044.864874962,442557.902902871,영업/정상,2013-10-16,,1,197.25
3160000-101-2022-00275,메가엠지씨커피 구로NC점,189632.396283313,444440.346291762,영업/정상,2022-09-06,,1,259.25
3160000-101-2021-00347,매머드익스프레스 구로SKV1점,183746.686550444,441744.40616131,영업/정상,2021-10-01,,1,0.0
3160000-101-2024-00143,메가엠지씨커피 구로이화교차로점,190471.903764182,443182.48092442,영업/정상,2024-04-26,,1,50.375
3160000-101-2022-00012,매머드익스프레스 동양미래대점,188089.730197161,444275.447306547,영업/정상,2022-01-13,,1,595.125
3160000-101-2022-00011,컴포즈커피 오금교점,189067.276002245,444891.605594405,영업/정상,2022-01-13,,1,151.0
3160000-101-2001-08860,메가엠지씨커피 동양미래대학점,188137.354153271,444275.400794983,영업/정상,2001-02-05,,1,46.375
3160000-101-1996-01018,빽다방 구로시장점,190296.099939558,443081.976965059,영업/정상,1996-03-14,,1,75.0
3160000-101-2013-00198,빽다방 구로코오롱점,190734.812272237,442305.230860115,영업/정상,2013-07-29,,1,1.25
3160000-101-2005-00031,빽다방 고대구로병원점,189700.281557111,443187.957120104,영업/정상,2005-01-26,,1,68.375
3160000-101-2006-00099,메가엠지씨커피 구로거리공원점,190150.586906898,444289.051633068,영업/정상,2006-03-21,,1,570.875
3160000-101-2005-00226,컴포즈커피(동양미래대학점),188132.565624313,444217.948267109,영업/정상,2005-06-09,,1,46.375
3160000-101-2003-00559,이디야커피 남구로역점,189946.556007652,442503.673703011,영업/정상,2003-11-19,,1,604.375
3160000-101-2024-00192,매머드익스프레스 구로대륭포스트8차점,190586.019686377,442101.685544921,영업/정상,2024-05-31,,1,1.25
3040000-101-1981-02511,이디야(중곡역점),207333.639771374,451464.267096677,폐업,1981-01-22,2023-07-25,0,170.25
3040000-101-2009-00208,어린이대공원역점 홍콩반점&빽다방,206322.32617093,449541.914006032,폐업,2009-07-02,2022-12-02,0,194.5
3040000-101-2022-00045,감성커피군자역점,206893.243768773,450355.212380878,폐업,2022-02-15,2024-11-15,0,167.25
3040000-101-2024-00464,이디야 건대역점,206031.196548172,448731.099217371,영업/정상,2024-12-24,,1,346.875
3040000-101-2021-00043,메가엠지씨커피 신자초사거리점,206641.557042355,447859.976973617,영업/정상,2021-02-03,,1,273.375
3040000-101-2020-00464,컴포즈커피(자양신양초교점),206072.891275754,448105.698154405,영업/정상,2020-12-24,,1,441.25
3040000-101-2022-00287,메가엠지씨커피 건대스타점,206226.926961699,448851.599084027,영업/정상,2022-08-11,,1,1.0
3040000-101-2009-00414,컴포즈 광진자양점,206931.750778661,447616.205224213,영업/정상,2009-12-21,,1,501.125
3040000-101-2021-00206,메가엠지씨커피 신양초사거리점,205969.966011569,448175.917404606,영업/정상,2021-05-26,,1,139.875
3040000-101-2021-00449,컴포즈커피 자양하늘채점,207352.865643852,447751.892968617,영업/정상,2021-12-06,,1,293.0
