관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자
4160000-101-2023-00105,이디야커피가평점,245794.490019068,479952.864333143,폐업,2023-09-25,2023-10-09
4160000-101-1999-00008,메가엠지씨커피 가평점,245200.884087078,480909.688181051,영업/정상,1999-03-12,
4160000-101-2013-00040,이디야,245206.237131907,480837.307143767,영업/정상,2013-05-23,
4100100-101-2023-00336,(주)매머드커피랩[한시적],177370.820174218,462947.515785368,폐업,2023-11-08,2023-11-19
3950000-101-2001-01278,이디야(덕양구청점),185151.002255208,459295.682912674,폐업,2001-06-25,2016-05-30
4100100-101-2021-00215,감성커피 일산주엽점,179136.362716136,463043.412715882,폐업,2021-10-05,2023-11-06
4100100-101-2020-00078,감성커피(일산탄현점),179086.607564507,465675.760214981,폐업,2020-05-06,2022-12-13
3960100-101-2015-00180,메가커피 일산라페스타점,179492.666132508,462272.008263397,폐업,2015-07-07,2018-03-06
3960100-101-2015-00224,빽다방 일산라페스타점,179449.749672525,462327.132044475,폐업,2015-08-20,2020-01-23
3950000-101-2023-00478,빽다방고양일고점,191286.759554711,466484.418845902,영업/정상,2023-09-26,
3960100-101-2022-00163,컴포즈커피 일산산들마을점,180396.150851117,464519.999605118,영업/정상,2022-05-31,
3950000-101-2020-00498,감성커피행주산성점,184231.880718166,456135.877823858,영업/정상,2020-12-29,
3960100-101-2021-00058,컴포즈커피 일산웨스턴돔점,179867.687196662,461402.023019802,영업/정상,2021-02-24,
4100100-101-2022-00236,메가엠지씨커피 탄현제니스점,179005.665068939,465786.029740427,영업/정상,2022-10-20,
3950000-101-2022-00358,메가엠지씨커피 화정단독주택단지점,185130.603873449,459802.213009822,영업/정상,2022-09-15,
3950000-101-2022-00413,컴포즈커피 고양관산고골점,187154.070151363,467404.102584536,영업/정상,2022-10-14,
3950000-101-2022-00397,메가엠지씨커피 고양경찰서점,184828.924719815,458367.087617797,영업/정상,2022-10-07,
3960100-101-2005-00331,컴포즈커피 고양백석점,181091.093679012,459810.921682813,영업/정상,2005-08-01,
3950000-101-2021-00209,컴포즈커피 고양화정중앙공원점,184974.533686305,458769.423203507,영업/정상,2021-05-27,
3960100-101-2018-00221,감성커피 일산식사점,183420.046809843,463886.484778446,영업/정상,2018-07-31,
4100100-101-1998-00157,빽다방 대화역점,177693.645,463804.75,영업/정상,1998-03-27,
3950000-101-1990-00026,메가엠지씨커피일산고양점,191282.030501618,466843.647325254,영업/정상,1990-04-16,
3960100-101-2006-00336,메가엠지씨커피마두역점,180267.898832944,461012.655830934,영업/정상,2006-09-26,
4100100-101-2016-00022,컴포즈커피 후곡마을점2,179267.11335259,464086.734405078,영업/정상,2016-02-17,
4100100-101-2016-00021,컴포즈커피 후곡마을점1,179267.11335259,464086.734405078,영업/정상,2016-02-17,
4100100-101-2022-00027,메가엠지씨커피 일산레이킨스몰점,178006.080301401,462865.812502378,영업/정상,2022-02-14,
4080000-101-2012-00005,이디야 안성공도점,215112.565917479,388840.843336678,영업/정상,2012-01-06,
4090000-101-2022-00737,커피에반하다 대곶점,164001.026754252,461571.563076262,폐업,2022-11-25,2024-02-22
4090000-101-2017-00091,커피에반하다,171978.68904612,461484.849339768,폐업,2017-02-28,2017-09-13
4090000-101-2018-00010,감성커피 김포장기점,170606.757261863,460195.241323562,폐업,2018-01-09,2020-06-30
4090000-101-2018-00099,커피에반하다,171978.68904612,461484.849339768,폐업,2018-03-13,2019-08-09
4090000-101-1995-00173,컴포즈커피김포대명항점,159586.506578232,459852.44377409,폐업,1995-06-22,2023-12-15
4090000-101-2019-00270,감성커피,166791.281614547,460351.298369391,폐업,2019-05-22,2022-05-18
4090000-101-2023-00692,매머드익스프레스 김포금빛초점,171710.147744975,459228.323169536,영업/정상,2023-12-04,
4090000-101-2022-00576,메가엠지씨커피 김포마곡사거리점,167873.168634382,467552.539061493,영업/정상,2022-09-30,
4090000-101-2022-00593,컴포즈커피 김포마산점,168434.673635489,459433.509696334,영업/정상,2022-10-05,
4090000-101-2022-00635,메가엠지씨커피 구래중앙점,166944.535484335,460193.051113188,영업/정상,2022-10-18,
4090000-101-2011-00316,메가커피 감정점,173347.941633955,457897.206279233,영업/정상,2011-12-05,
4090000-101-2020-00472,(주)거산파트너스 구래아크라시티 이디야점,166429.8975,459988.806,영업/정상,2020-08-18,
4090000-101-2020-00427,매머드 익스프레스 김포운양점,171926.505335502,461354.759200826,영업/정상,2020-07-28,
4090000-101-2016-00282,빽다방 김포통진마송점,164722.44726119,465326.217473499,영업/정상,2016-07-18,
4090000-101-2020-00195,감성커피 김포산업단지점,165114.364153775,456688.32288271,영업/정상,2020-04-23,
4090000-101-2018-00286,메가엠지씨커피 김포고촌점,179621.7120697,455588.703106285,영업/정상,2018-06-15,
4090000-101-2024-00588,빽다방 김포구래휴트라움점,166386.51920705,459929.575284169,영업/정상,2024-10-23,
4140000-101-2019-00027,컴포즈커피연천전곡점,205891.618923167,502691.71511998,영업/정상,2019-05-28,
3820000-101-2022-00372,메가엠지씨커피 의정부듀클래스점,209084.035581152,469607.947595004,영업/정상,2022-10-19,
3820000-101-2022-00356,메가엠지씨커피 의정부신곡중앙점,205305.562840111,469592.154396231,영업/정상,2022-10-07,
3820000-101-2022-00319,메가엠지씨커피 의정부용현점,207383.319086007,469977.351664487,영업/정상,2022-09-08,
3820000-101-2020-00392,매머드 익스프레스 어룡역점,207589.919783879,471085.09891948,영업/정상,2020-10-06,
3820000-101-2020-00403,메가엠지씨커피 의정부고산점,209667.248193048,469646.903168981,영업/정상,2020-10-13,
3820000-101-2022-00504,감성커피 의정부용현점,206754.013145706,470284.030346875,영업/정상,2022-12-30,
